Neighborhood,Borough,FIPS,Unbanked 2011,Underbanked 2011,Unbanked 2013,Underbanked 2013,Prepaid 2011,Prepaid 2013,% Foreign born 2011,% Poor 2011,Median Income 2011,Unemployment 2011,% Poor 2013,% Foreign born 2013,Median income 2013,Unemployment 2013,Neighborhood Tabulation Area Code (NTA Code),Borough Name, Total Population , Total Number of Households ,Home Broadband Adoption (Percentage of Households),"Home Broadband Adoption by Quartiles (High Connected, Medium High Connected, Medium Low Connected, Low Connected)",Mobile Broadband Adoption (Percentage of Households),"Mobile broadband adoption by Quartiles (High Connected, Medium High Connected, Medium Low Connected, Low Connected)",No Broadband (Percentage of Households),"No Broadand by Quartiles (High, Medium High, Medium Low, Low)",Commercial Fiber Max ISP Choice by NTA,Percentage of Blocks without a Commercial Fiber Provider,Percentage of Blocks without a Commercial Fiber Provider by Quartiles,Residential Broadband ISP Choice Average by NTA,Residential Broadband ISP Choice Average by Quartiles,Total Poles,Reserved Poles,Density of Poles Reserved and with Equipment Installed for Mobile Telecom Franchise,Public Wi-Fi in NYC Count,Number of Free Public Wi-Fi Access Points in a Pedestrian Corridor,Available Free Public Wi-Fi in a Pedestrian Corridor (Y/N),Number of Public Computer Centers with free public Wi-Fi,Number of Public Computer Center Workstations,Number of Public Computer Center Open Lab Hours
Hillcrest,Queens,4106,0.08,0.23,0.05,0.23,0.09,0.09,0.44,0.13,"53,240",0.12,0.11,0.48,"57,531",0.09,QN38,Queens," 35,946 "," 12,249 ",0.70,Medium Low Connected,0.77,Medium Low Connected,0.18,Medium High,3,0.05,Medium Low,1.97,Medium High,28,12,20.14,1,0,FALSE,3,55,4.333333333
Fresh Meadows,Queens,4106,0.08,0.23,0.05,0.23,0.09,0.09,0.44,0.13,"53,240",0.12,0.11,0.48,"57,531",0.09,QN41,Queens," 19,500 "," 6,677 ",0.86,High Connected,0.88,High Connected,0.06,Low,3,0.10,Medium High,2.15,High,3,3,3.00,5,1,TRUE,2,34,3.916666667
Elmhurst,Queens,4107,0.14,0.31,0.12,0.28,0.09,0.10,0.70,0.22,"45,641",0.05,0.18,0.64,"46,489",0.07,QN29,Queens," 82,536 "," 26,346 ",0.69,Medium Low Connected,0.83,Medium High Connected,0.15,Medium High,3,0.09,Medium Low,2.70,High,36,23,30.77,39,30,TRUE,3,118,5.583333333
Corona,Queens,4107,0.14,0.31,0.12,0.28,0.09,0.10,0.70,0.22,"45,641",0.05,0.18,0.64,"46,489",0.07,QN25,Queens," 57,146 "," 16,418 ",0.62,Medium Low Connected,0.80,Medium High Connected,0.18,Medium High,3,0.12,Medium High,2.73,High,27,21,37.50,1,0,FALSE,2,25,3.5
Forest Hills,Queens,4108,0.04,0.18,0.04,0.22,0.08,0.09,0.50,0.05,"65,902",0.06,0.08,0.52,"61,654",0.06,QN17,Queens," 87,668 "," 39,427 ",0.77,Medium High Connected,0.82,Medium High Connected,0.11,Low,4,0.09,Medium Low,2.06,High,47,17,22.71,30,25,TRUE,5,67,8.6875
Rego Park,Queens,4108,0.04,0.18,0.04,0.22,0.08,0.09,0.50,0.05,"65,902",0.06,0.08,0.52,"61,654",0.06,QN18,Queens," 28,213 "," 12,404 ",0.73,Medium High Connected,0.78,Medium Low Connected,0.14,Medium Low,3,0.10,Medium High,2.04,High,18,4,25.00,7,4,TRUE,3,46,5.6875
Sunnyside,Queens,4109,0.09,0.23,0.07,0.23,0.09,0.11,0.59,0.12,"50,105",0.07,0.12,0.56,"61,836",0.06,QN31,Queens," 69,649 "," 30,315 ",0.81,High Connected,0.87,High Connected,0.11,Low,4,0.35,High,1.97,Medium High,71,52,19.35,52,25,TRUE,3,35,5.416666667
Woodside,Queens,4109,0.09,0.23,0.07,0.23,0.09,0.11,0.59,0.12,"50,105",0.07,0.12,0.56,"61,836",0.06,QN63,Queens," 41,942 "," 15,749 ",0.75,Medium High Connected,0.83,Medium High Connected,0.12,Medium Low,3,0.20,High,2.67,High,21,12,20.79,16,6,TRUE,1,16,1.833333333
Middle Village,Queens,4110,0.12,0.18,0.09,0.23,0.10,0.11,0.39,0.12,"52,416",0.09,0.10,0.38,"58,564",0.08,QN21,Queens," 41,442 "," 14,792 ",0.77,Medium High Connected,0.81,Medium High Connected,0.13,Medium Low,3,0.11,Medium High,2.59,High,29,20,14.01,9,0,FALSE,2,24,3.5
Ridgewood,Queens,4110,0.12,0.18,0.09,0.23,0.10,0.11,0.39,0.12,"52,416",0.09,0.10,0.38,"58,564",0.08,QN20,Queens," 76,103 "," 24,554 ",0.75,Medium High Connected,0.85,High Connected,0.15,Medium High,4,0.03,Low,2.17,High,47,21,25.97,2,1,TRUE,2,29,3.625
Kew Gardens,Queens,4111,0.11,0.27,0.07,0.25,0.10,0.10,0.49,0.15,"54,855",0.12,0.15,0.49,"62,532",0.09,QN60,Queens," 22,376 "," 9,930 ",0.73,Medium High Connected,0.82,Medium High Connected,0.13,Medium Low,3,0.25,High,1.82,Medium Low,20,3,27.03,10,5,TRUE,0,0,12/31/1899 12:00:00 AM
Woodhaven,Queens,4111,0.11,0.27,0.07,0.25,0.10,0.10,0.49,0.15,"54,855",0.12,0.15,0.49,"62,532",0.09,QN53,Queens," 60,377 "," 16,680 ",0.77,High Connected,0.83,Medium High Connected,0.10,Low,2,0.04,Low,2.07,High,33,12,24.81,19,15,TRUE,2,19,3.5
Jamaica,Queens,4112,0.13,0.37,0.11,0.34,0.11,0.12,0.41,0.13,"50,021",0.15,0.13,0.43,"51,449",0.15,QN61,Queens," 54,754 "," 16,045 ",0.66,Medium Low Connected,0.81,Medium High Connected,0.17,Medium High,4,0.13,Medium High,1.82,Medium Low,74,45,43.53,25,21,TRUE,5,177,11.75
Howard Beach,Queens,4113,0.06,0.27,0.06,0.24,0.09,0.09,0.47,0.10,"58,536",0.11,0.08,0.46,"62,671",0.13,QN57,Queens," 28,313 "," 10,741 ",0.77,Medium High Connected,0.73,Low Connected,0.12,Medium Low,3,0.18,High,1.88,Medium Low,11,6,4.80,1,1,TRUE,1,12,1.833333333
S. Ozone Park,Queens,4113,0.06,0.27,0.06,0.24,0.09,0.09,0.47,0.10,"58,536",0.11,0.08,0.46,"62,671",0.13,QN56,Queens," 23,966 "," 6,955 ",0.81,High Connected,0.84,High Connected,0.08,Low,2,0.09,Medium Low,1.94,Medium High,17,7,18.89,1,1,TRUE,1,5,1.833333333
Rockaways,Queens,4114,0.16,0.24,0.14,0.26,0.11,0.13,0.30,0.20,"42,265",0.12,0.15,0.28,"46,731",0.08,QN10,Queens," 28,004 "," 11,056 ",0.73,Medium High Connected,0.78,Medium Low Connected,0.15,Medium High,3,0.15,Medium High,1.89,Medium Low,17,5,4.76,17,2,TRUE,3,34,5.333333333
Annadale,Staten Island,,,,,,,,,,,,,,,,SI01,Staten Island,"29,801","10,263",0.79,High Connected,0.83,Medium High Connected,0.10,Low,3,0.14,Medium High,1.88,Medium Low,89,23,17.59,5,0,FALSE,0,0,12/31/1899 12:00:00 AM
Huguenot,Staten Island,,,,,,,,,,,,,,,,SI01,Staten Island,"29,801","10,263",0.79,High Connected,0.83,Medium High Connected,0.10,Low,3,0.14,Medium High,1.88,Medium Low,89,23,17.59,5,0,FALSE,0,0,12/31/1899 12:00:00 AM
Prince's Bay,Staten Island,,,,,,,,,,,,,,,,SI01,Staten Island,"29,801","10,263",0.79,High Connected,0.83,Medium High Connected,0.10,Low,3,0.14,Medium High,1.88,Medium Low,89,23,17.59,5,0,FALSE,0,0,12/31/1899 12:00:00 AM
Eltingville,Staten Island,,,,,,,,,,,,,,,,SI01,Staten Island,"29,801","10,263",0.79,High Connected,0.83,Medium High Connected,0.10,Low,3,0.14,Medium High,1.88,Medium Low,89,23,17.59,5,0,FALSE,0,0,12/31/1899 12:00:00 AM
Arden Heights,Staten Island,,,,,,,,,,,,,,,,SI48,Staten Island,"26,887","9,054",0.81,High Connected,0.84,High Connected,0.08,Low,2,0.02,Low,1.98,Medium High,25,3,13.81,0,0,FALSE,0,0,12/31/1899 12:00:00 AM
Charleston,Staten Island,,,,,,,,,,,,,,,,SI11,Staten Island,"23,834","8,238",0.79,High Connected,0.74,Low Connected,0.12,Medium Low,3,0.18,High,1.86,Medium Low,67,19,12.81,1,1,TRUE,1,14,1/1/00 19:00
Richmond Valley,Staten Island,,,,,,,,,,,,,,,,SI11,Staten Island,"23,834","8,238",0.79,High Connected,0.74,Low Connected,0.12,Medium Low,3,0.18,High,1.86,Medium Low,67,19,12.81,1,1,TRUE,1,14,1/1/00 19:00
Tottenville,Staten Island,,,,,,,,,,,,,,,,SI11,Staten Island,"23,834","8,238",0.79,High Connected,0.74,Low Connected,0.12,Medium Low,3,0.18,High,1.86,Medium Low,67,19,12.81,1,1,TRUE,1,14,1/1/00 19:00
Grasmere,Staten Island,,,,,,,,,,,,,,,,SI14,Staten Island,"16,417","5,667",0.77,High Connected,0.77,Medium Low Connected,0.12,Medium Low,3,0.26,High,1.74,Low,17,8,11.56,3,3,TRUE,2,24,1/2/00 14:00
Arrochar,Staten Island,,,,,,,,,,,,,,,,SI14,Staten Island,"16,417","5,667",0.77,High Connected,0.77,Medium Low Connected,0.12,Medium Low,3,0.26,High,1.74,Low,17,8,11.56,3,3,TRUE,2,24,1/2/00 14:00
Ft. Wadsworth,Staten Island,,,,,,,,,,,,,,,,SI14,Staten Island,"16,417","5,667",0.77,High Connected,0.77,Medium Low Connected,0.12,Medium Low,3,0.26,High,1.74,Low,17,8,11.56,3,3,TRUE,2,24,1/2/00 14:00
Grymes Hill,Staten Island,,,,,,,,,,,,,,,,SI08,Staten Island,"21,480","7,866",0.61,Low Connected,0.77,Low Connected,0.27,High,3,0.06,Medium Low,1.94,Medium High,37,13,27.41,0,0,FALSE,0,0,12/31/1899 12:00:00 AM
Clifton,Staten Island,,,,,,,,,,,,,,,,SI08,Staten Island,"21,480","7,866",0.61,Low Connected,0.77,Low Connected,0.27,High,3,0.06,Medium Low,1.94,Medium High,37,13,27.41,0,0,FALSE,0,0,12/31/1899 12:00:00 AM
Fox Hills,Staten Island,,,,,,,,,,,,,,,,SI08,Staten Island,"21,480","7,866",0.61,Low Connected,0.77,Low Connected,0.27,High,3,0.06,Medium Low,1.94,Medium High,37,13,27.41,0,0,FALSE,0,0,12/31/1899 12:00:00 AM
Mariner's Harbor,Staten Island,,,,,,,,,,,,,,,,SI12,Staten Island,"32,780","10,152",0.64,Medium Low Connected,0.79,Medium Low Connected,0.20,High,3,0.13,Medium High,1.89,Medium Low,42,13,13.17,0,0,FALSE,2,63,1/2/00 14:00
Arlington,Staten Island,,,,,,,,,,,,,,,,SI12,Staten Island,"32,780","10,152",0.64,Medium Low Connected,0.79,Medium Low Connected,0.20,High,3,0.13,Medium High,1.89,Medium Low,42,13,13.17,0,0,FALSE,2,63,1/2/00 14:00
Port Ivory,Staten Island,,,,,,,,,,,,,,,,SI12,Staten Island,"32,780","10,152",0.64,Medium Low Connected,0.79,Medium Low Connected,0.20,High,3,0.13,Medium High,1.89,Medium Low,42,13,13.17,0,0,FALSE,2,63,1/2/00 14:00
Graniteville,Staten Island,,,,,,,,,,,,,,,,SI12,Staten Island,"32,780","10,152",0.64,Medium Low Connected,0.79,Medium Low Connected,0.20,High,3,0.13,Medium High,1.89,Medium Low,42,13,13.17,0,0,FALSE,2,63,1/2/00 14:00
New Brighton,Staten Island,,,,,,,,,,,,,,,,SI35,Staten Island,"17,349","6,157",0.74,Medium High Connected,0.74,Low Connected,0.15,Medium High,5,0.01,Low,1.99,Medium High,28,11,16.57,1,0,FALSE,1,60,1/1/00 23:00
Silver Lake,Staten Island,,,,,,,,,,,,,,,,SI35,Staten Island,"17,349","6,157",0.74,Medium High Connected,0.74,Low Connected,0.15,Medium High,5,0.01,Low,1.99,Medium High,28,11,16.57,1,0,FALSE,1,60,1/1/00 23:00
New Dorp,Staten Island,,,,,,,,,,,,,,,,SI45,Staten Island,"21,208","7,856",0.77,Medium High Connected,0.75,Low Connected,0.14,Medium Low,3,0.03,Low,1.98,Medium High,22,8,11.06,23,15,TRUE,1,31,1/2/00 2:00
Midland Beach,Staten Island,,,,,,,,,,,,,,,,SI45,Staten Island,"21,208","7,856",0.77,Medium High Connected,0.75,Low Connected,0.14,Medium Low,3,0.03,Low,1.98,Medium High,22,8,11.06,23,15,TRUE,1,31,1/2/00 2:00
Oakwood,Staten Island,,,,,,,,,,,,,,,,SI25,Staten Island,"20,485","7,889",0.73,Medium High Connected,0.74,Low Connected,0.16,Medium High,3,0.06,Medium Low,1.95,Medium High,31,11,15.42,4,4,TRUE,0,0,12/31/1899 12:00:00 AM
Oakwood Beach,Staten Island,,,,,,,,,,,,,,,,SI25,Staten Island,"20,485","7,889",0.73,Medium High Connected,0.74,Low Connected,0.16,Medium High,3,0.06,Medium Low,1.95,Medium High,31,11,15.42,4,4,TRUE,0,0,12/31/1899 12:00:00 AM
Old Town,Staten Island,,,,,,,,,,,,,,,,SI36,Staten Island,"26,447","8,787",0.72,Medium Low Connected,0.75,Low Connected,0.16,Medium High,3,0.07,Medium Low,1.95,Medium High,32,15,13.33,20,7,TRUE,1,9,12/31/1899 01:00:00 PM
Dongan Hills,Staten Island,,,,,,,,,,,,,,,,SI36,Staten Island,"26,447","8,787",0.72,Medium Low Connected,0.75,Low Connected,0.16,Medium High,3,0.07,Medium Low,1.95,Medium High,32,15,13.33,20,7,TRUE,1,9,12/31/1899 01:00:00 PM
South Beach,Staten Island,,,,,,,,,,,,,,,,SI36,Staten Island,"26,447","8,787",0.72,Medium Low Connected,0.75,Low Connected,0.16,Medium High,3,0.07,Medium Low,1.95,Medium High,32,15,13.33,20,7,TRUE,1,9,12/31/1899 01:00:00 PM
Port Richmond,Staten Island,,,,,,,,,,,,,,,,SI28,Staten Island,"19,293","6,491",0.67,Medium Low Connected,0.71,Low Connected,0.19,Medium High,4,0.10,Medium High,1.91,Medium Low,33,6,25.19,1,0,FALSE,2,68,1/3/00 1:00
Rossville,Staten Island,,,,,,,,,,,,,,,,SI32,Staten Island,"21,870","7,729",0.78,High Connected,0.79,Medium Low Connected,0.12,Medium Low,3,0.08,Medium Low,1.93,Medium High,46,5,19.74,1,0,FALSE,1,15,1/2/00 1:00
Woodrow,Staten Island,,,,,,,,,,,,,,,,SI32,Staten Island,"21,870","7,729",0.78,High Connected,0.79,Medium Low Connected,0.12,Medium Low,3,0.08,Medium Low,1.93,Medium High,46,5,19.74,1,0,FALSE,1,15,1/2/00 1:00
Stapleton,Staten Island,,,,,,,,,,,,,,,,SI37,Staten Island,"25,281","9,196",0.69,Medium Low Connected,0.71,Low Connected,0.22,High,3,0.07,Medium Low,1.92,Medium Low,41,16,24.55,5,5,TRUE,2,89,1/3/00 2:00
Rosebank,Staten Island,,,,,,,,,,,,,,,,SI37,Staten Island,"25,281","9,196",0.69,Medium Low Connected,0.71,Low Connected,0.22,High,3,0.07,Medium Low,1.92,Medium Low,41,16,24.55,5,5,TRUE,2,89,1/3/00 2:00
Todt Hill,Staten Island,,,,,,,,,,,,,,,,SI24,Staten Island,"32,077","11,238",0.77,High Connected,0.79,Medium Low Connected,0.09,Low,3,0.09,Medium Low,1.91,Medium Low,73,18,11.01,3,3,TRUE,2,44,1/3/00 14:00
Emerson Hill,Staten Island,,,,,,,,,,,,,,,,SI24,Staten Island,"32,077","11,238",0.77,High Connected,0.79,Medium Low Connected,0.09,Low,3,0.09,Medium Low,1.91,Medium Low,73,18,11.01,3,3,TRUE,2,44,1/3/00 14:00
Heartland Village,Staten Island,,,,,,,,,,,,,,,,SI24,Staten Island,"32,077","11,238",0.77,High Connected,0.79,Medium Low Connected,0.09,Low,3,0.09,Medium Low,1.91,Medium Low,73,18,11.01,3,3,TRUE,2,44,1/3/00 14:00
Lighthouse Hill,Staten Island,,,,,,,,,,,,,,,,SI24,Staten Island,"32,077","11,238",0.77,High Connected,0.79,Medium Low Connected,0.09,Low,3,0.09,Medium Low,1.91,Medium Low,73,18,11.01,3,3,TRUE,2,44,1/3/00 14:00
Westerleigh,Staten Island,,,,,,,,,,,,,,,,SI07,Staten Island,"24,516","8,797",0.78,High Connected,0.78,Medium Low Connected,0.13,Medium Low,3,0.02,Low,1.97,Medium High,43,8,18.94,8,1,TRUE,1,55,1/2/00 6:00
Allerton,Bronx,,,,,,,,,,,,,,,,BX31,Bronx,"31,097","9,558",0.71,Medium Low Connected,0.82,Medium High Connected,0.12,Medium Low,3,0.04,Low,1.94,Medium High,41,14,35.96,0,0,FALSE,2,23,1/1/00 23:00
Pelham Gardens,Bronx,,,,,,,,,,,,,,,,BX31,Bronx,"31,097","9,558",0.71,Medium Low Connected,0.82,Medium High Connected,0.12,Medium Low,3,0.04,Low,1.94,Medium High,41,14,35.96,0,0,FALSE,2,23,1/1/00 23:00
Bedford Park,Bronx,,,,,,,,,,,,,,,,BX05,Bronx,"58,354","19,667",0.60,Low Connected,0.85,High Connected,0.15,Medium High,3,0.06,Medium Low,1.82,Medium Low,63,16,116.67,23,14,TRUE,3,251,1/6/00 13:30
Fordham North,Bronx,,,,,,,,,,,,,,,,BX05,Bronx,"58,354","19,667",0.60,Low Connected,0.85,High Connected,0.15,Medium High,3,0.06,Medium Low,1.82,Medium Low,63,16,116.67,23,14,TRUE,3,251,1/6/00 13:30
Belmont,Bronx,,,,,,,,,,,,,,,,BX06,Bronx,"28,962","9,147",0.59,Low Connected,0.81,Medium High Connected,0.19,Medium High,4,0.12,Medium High,1.77,Low,36,13,73.47,1,1,TRUE,1,51,1/2/00 2:00
Bronxdale,Bronx,,,,,,,,,,,,,,,,BX07,Bronx,"38,814","14,429",0.59,Low Connected,0.77,Medium Low Connected,0.16,Medium High,3,0.02,Low,1.89,Medium Low,36,8,66.67,1,0,FALSE,5,109,1/8/00 18:00
Claremont,Bronx,,,,,,,,,,,,,,,,BX01,Bronx,"35,190","11,201",0.55,Low Connected,0.77,Medium Low Connected,0.25,High,4,0.11,Medium High,1.71,Low,50,8,84.75,4,2,TRUE,3,68,1/4/00 6:00
Bathgate,Bronx,,,,,,,,,,,,,,,,BX01,Bronx,"35,190","11,201",0.55,Low Connected,0.77,Medium Low Connected,0.25,High,4,0.11,Medium High,1.71,Low,50,8,84.75,4,2,TRUE,3,68,1/4/00 6:00
Crotona Park East,Bronx,,,,,,,,,,,,,,,,BX75,Bronx,"22,409","8,093",0.60,Low Connected,0.79,Medium Low Connected,0.26,High,3,0.23,High,1.72,Low,24,5,40.68,0,0,FALSE,1,12,1/1/00 16:00
Longwood,Bronx,,,,,,,,,,,,,,,,BX33,Bronx,"27,974","9,412",0.63,Medium Low Connected,0.77,Medium Low Connected,0.22,High,3,0.10,Medium High,1.78,Low,38,13,100.00,4,0,FALSE,2,18,1/2/00 3:00
Melrose South,Bronx,,,,,,,,,,,,,,,,BX34,Bronx,"42,877","14,837",0.58,Low Connected,0.77,Medium Low Connected,0.26,High,5,0.05,Medium Low,1.83,Medium Low,59,22,95.16,27,24,TRUE,5,119,1/8/00 8:00
Mott Haven North,Bronx,,,,,,,,,,,,,,,,BX34,Bronx,"42,877","14,837",0.58,Low Connected,0.77,Medium Low Connected,0.26,High,5,0.05,Medium Low,1.83,Medium Low,59,22,95.16,27,24,TRUE,5,119,1/8/00 8:00
Mount Hope,Bronx,,,,,,,,,,,,,,,,BX41,Bronx,"54,076","17,861",0.57,Low Connected,0.82,Medium High Connected,0.23,High,3,0.12,Medium High,1.68,Low,64,19,120.75,21,16,TRUE,2,69,1/4/00 8:00
Norwood,Bronx,,,,,,,,,,,,,,,,BX43,Bronx,"40,032","14,539",0.63,Medium Low Connected,0.79,Medium Low Connected,0.18,Medium High,3,0.15,Medium High,1.73,Low,51,11,91.07,11,1,TRUE,3,63,1/7/00 0:00
Pelham Bay,Bronx,,,,,,,,,,,,,,,,BX10,Bronx,"27,262","11,283",0.71,Medium Low Connected,0.78,Medium Low Connected,0.16,Medium High,4,0.15,Medium High,1.86,Medium Low,43,18,29.86,7,1,TRUE,2,27,1/3/00 12:00
City Island,Bronx,,,,,,,,,,,,,,,,BX10,Bronx,"27,262","11,283",0.71,Medium Low Connected,0.78,Medium Low Connected,0.16,Medium High,4,0.15,Medium High,1.86,Medium Low,43,18,29.86,7,1,TRUE,2,27,1/3/00 12:00
Rikers Island,Bronx,,,,,,,,,,,,,,,,BX98,Bronx,"6,864",0,0.00,Low Connected,0.00,Low Connected,0.00,Low,1,0.96,High,0.06,Low,0,0,0.00,0,0,FALSE,0,0,12/31/1899 12:00:00 AM
Soundview,Bronx,,,,,,,,,,,,,,,,BX09,Bronx,"55,000","19,516",0.66,Medium Low Connected,0.77,Low Connected,0.20,Medium High,4,0.20,High,1.80,Low,72,15,38.71,3,1,TRUE,5,67,1/6/00 6:00
Castle Hill,Bronx,,,,,,,,,,,,,,,,BX09,Bronx,"55,000","19,516",0.66,Medium Low Connected,0.77,Low Connected,0.20,Medium High,4,0.20,High,1.80,Low,72,15,38.71,3,1,TRUE,5,67,1/6/00 6:00
Clason Point,Bronx,,,,,,,,,,,,,,,,BX09,Bronx,"55,000","19,516",0.66,Medium Low Connected,0.77,Low Connected,0.20,Medium High,4,0.20,High,1.80,Low,72,15,38.71,3,1,TRUE,5,67,1/6/00 6:00
Harding Park,Bronx,,,,,,,,,,,,,,,,BX09,Bronx,"55,000","19,516",0.66,Medium Low Connected,0.77,Low Connected,0.20,Medium High,4,0.20,High,1.80,Low,72,15,38.71,3,1,TRUE,5,67,1/6/00 6:00
Van Cortlandt Village,Bronx,,,,,,,,,,,,,,,,BX28,Bronx,"50,658","18,219",0.69,Medium Low Connected,0.81,Medium High Connected,0.14,Medium Low,3,0.07,Medium Low,1.80,Low,60,19,65.22,4,2,TRUE,3,96,1/5/00 18:00
Van Nest,Bronx,,,,,,,,,,,,,,,,BX37,Bronx,"28,214","9,448",0.59,Low Connected,0.77,Medium Low Connected,0.16,Medium High,3,0.08,Medium Low,1.85,Medium Low,57,7,43.85,7,1,TRUE,3,100,1/6/00 21:30
Morris Park,Bronx,,,,,,,,,,,,,,,,BX37,Bronx,"28,214","9,448",0.59,Low Connected,0.77,Medium Low Connected,0.16,Medium High,3,0.08,Medium Low,1.85,Medium Low,57,7,43.85,7,1,TRUE,3,100,1/6/00 21:30
Westchester Square,Bronx,,,,,,,,,,,,,,,,BX37,Bronx,"28,214","9,448",0.59,Low Connected,0.77,Medium Low Connected,0.16,Medium High,3,0.08,Medium Low,1.85,Medium Low,57,7,43.85,7,1,TRUE,3,100,1/6/00 21:30
West Concourse,Bronx,,,,,,,,,,,,,,,,BX63,Bronx,"38,312","13,427",0.60,Low Connected,0.79,Medium Low Connected,0.24,High,4,0.05,Medium Low,1.53,Low,64,12,91.43,40,16,TRUE,1,7,1/1/00 16:00
West Farms,Bronx,,,,,,,,,,,,,,,,BX08,Bronx,"35,319","11,877",0.60,Low Connected,0.76,Low Connected,0.23,High,3,0.17,High,1.79,Low,34,3,62.96,1,1,TRUE,2,58,1/3/00 18:00
Bronx River,Bronx,,,,,,,,,,,,,,,,BX08,Bronx,"35,319","11,877",0.60,Low Connected,0.76,Low Connected,0.23,High,3,0.17,High,1.79,Low,34,3,62.96,1,1,TRUE,2,58,1/3/00 18:00
Westchester,Bronx,,,,,,,,,,,,,,,,BX59,Bronx,"28,444","9,335",0.67,Medium Low Connected,0.80,Medium Low Connected,0.16,Medium High,4,0.14,Medium High,1.84,Medium Low,38,9,44.19,1,0,FALSE,1,31,1/2/00 2:00
Unionport,Bronx,,,,,,,,,,,,,,,,BX59,Bronx,"28,444","9,335",0.67,Medium Low Connected,0.80,Medium Low Connected,0.16,Medium High,4,0.14,Medium High,1.84,Medium Low,38,9,44.19,1,0,FALSE,1,31,1/2/00 2:00
Woodlawn,Bronx,,,,,,,,,,,,,,,,BX62,Bronx,"44,715","15,400",0.59,Low Connected,0.78,Medium Low Connected,0.13,Medium Low,3,0.08,Medium Low,2.04,High,47,8,32.87,3,1,TRUE,2,52,1/4/00 4:00
Wakefield,Bronx,,,,,,,,,,,,,,,,BX62,Bronx,"44,715","15,400",0.59,Low Connected,0.78,Medium Low Connected,0.13,Medium Low,3,0.08,Medium Low,2.04,High,47,8,32.87,3,1,TRUE,2,52,1/4/00 4:00
Bath Beach,Brooklyn,,,,,,,,,,,,,,,,BK27,Brooklyn,"33,580","11,312",0.75,Medium High Connected,0.82,Medium High Connected,0.12,Medium Low,4,0.21,High,1.86,Medium Low,19,8,25.68,8,1,TRUE,1,26,1/2/00 5:00
Bensonhurst East,Brooklyn,,,,,,,,,,,,,,,,BK29,Brooklyn,"65,589","22,406",0.73,Medium High Connected,0.80,Medium Low Connected,0.15,Medium High,5,0.06,Medium Low,1.88,Medium Low,19,10,14.84,2,1,TRUE,2,31,1/4/00 0:00
Brighton Beach,Brooklyn,,,,,,,,,,,,,,,,BK19,Brooklyn,"34,814","14,441",0.67,Medium Low Connected,0.69,Low Connected,0.22,High,3,0.15,Medium High,1.86,Medium Low,13,7,20.97,1,1,TRUE,3,64,1/5/00 8:00
Bushwick South,Brooklyn,,,,,,,,,,,,,,,,BK78,Brooklyn,"72,809","27,431",0.61,Low Connected,0.79,Medium Low Connected,0.20,High,3,0.23,High,1.85,Medium Low,32,3,22.22,9,2,TRUE,8,161,1/12/00 23:00
Clinton Hill,Brooklyn,,,,,,,,,,,,,,,,BK69,Brooklyn,"39,245","16,676",0.78,High Connected,0.86,High Connected,0.13,Medium Low,4,0.15,Medium High,2.33,High,22,6,29.73,15,8,TRUE,3,80,1/5/00 20:00
Cypress Hills,Brooklyn,,,,,,,,,,,,,,,,BK83,Brooklyn,"48,738","14,955",0.74,Medium High Connected,0.86,High Connected,0.17,Medium High,4,0.01,Low,1.94,Medium High,20,13,20.20,10,8,TRUE,2,29,1/3/00 16:00
City Line,Brooklyn,,,,,,,,,,,,,,,,BK83,Brooklyn,"48,738","14,955",0.74,Medium High Connected,0.86,High Connected,0.17,Medium High,4,0.01,Low,1.94,Medium High,20,13,20.20,10,8,TRUE,2,29,1/3/00 16:00
DUMBO,Brooklyn,,,,,,,,,,,,,,,,BK38,Brooklyn,"46,573","20,118",0.81,High Connected,0.86,High Connected,0.09,Low,8,0.08,Medium Low,2.04,High,72,31,70.59,125,109,TRUE,3,41,1/3/00 9:00
Vinegar Hill,Brooklyn,,,,,,,,,,,,,,,,BK38,Brooklyn,"46,573","20,118",0.81,High Connected,0.86,High Connected,0.09,Low,8,0.08,Medium Low,2.04,High,72,31,70.59,125,109,TRUE,3,41,1/3/00 9:00
Downtown Brooklyn,Brooklyn,,,,,,,,,,,,,,,,BK38,Brooklyn,"46,573","20,118",0.81,High Connected,0.86,High Connected,0.09,Low,8,0.08,Medium Low,2.04,High,72,31,70.59,125,109,TRUE,3,41,1/3/00 9:00
Boerum Hill,Brooklyn,,,,,,,,,,,,,,,,BK38,Brooklyn,"46,573","20,118",0.81,High Connected,0.86,High Connected,0.09,Low,8,0.08,Medium Low,2.04,High,72,31,70.59,125,109,TRUE,3,41,1/3/00 9:00
Dyker Heights,Brooklyn,,,,,,,,,,,,,,,,BK30,Brooklyn,"43,840","14,543",0.75,Medium High Connected,0.80,Medium High Connected,0.13,Medium Low,4,0.03,Low,2.65,High,10,4,9.35,7,2,TRUE,2,24,1/4/00 0:00
East Flatbush-Farragut,Brooklyn,,,,,,,,,,,,,,,,BK91,Brooklyn,"51,633","18,567",0.73,Medium High Connected,0.77,Medium Low Connected,0.17,Medium High,3,0.04,Low,1.93,Medium High,35,18,28.46,7,6,TRUE,2,20,1/3/00 10:00
East Flatbush-Farragut,Brooklyn,,,,,,,,,,,,,,,,BK91,Brooklyn,"51,633","18,567",0.73,Medium High Connected,0.77,Medium Low Connected,0.17,Medium High,3,0.04,Low,1.93,Medium High,35,18,28.46,7,6,TRUE,2,20,1/3/00 10:00
